entname,PERSON_PMS_002,COM_CICI_035,COM_CICI_037,LRB_020,LRB_007,LRB_001,LRB_022,LRB_011,LRB_013,LRB_009,TAX_TW_015,TAX_TW_016,TAX_TW_017,TAX_TW_001,TAX_TW_024,TAX_TW_004,TAX_TW_003,TAX_TW_018,TAX_TW_025,TAX_TW_019,TAX_TW_020,TAX_TW_027,TAX_TW_022,TAX_TW_023,OPT_ARCSS_001,DWSBJN_002,DEBT_DMP_021,DEBT_DMP_025,NSDJ_016,TAX_TW_009,TAX_TW_028,JUSTICE_JNP_023,JUSTICE_JNP_024,JUSTICE_JNP_025,JUSTICE_JNP_026,JUSTICE_JNP_027,JUSTICE_JNP_028,JUSTICE_JNP_029,JUSTICE_JNP_030,JUSTICE_JNP_031,JNSHJXYHB_002,JNSHJXYYBMD_002,JUSTICE_JE_009,JUSTICE_JNP_022,SHTZXY_002,LRB_002,LRB_004,LRB_021,LRB_023,COM_CIBI_006,COM_CIBI_033,XWQY_001,TAX_TW_029,TAX_TW_030,COM_CIBI_002,LRB_024,LRB_025,LRB_026,ZCFZB_034,TAX_TW_031,DL_002
994,3,0,0,-3.054267,-0.030262,2.100102,15.24,2145012.43,100.28,-71409.29,1156,747,384,134712.08,25.62,415265.615,-0.808189038,1152,1152,712,337,7378,1189,2151,1742.32,2,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000047,-0.033291,-0.045655,70.01,4.75,2,1,17,34,300,-3.49,-4.06,-6.73,-8.7,-1.13,0
1047,2,0,0,-0.39359,0.014386,1.972062,80.82,11372245.73,-2036.05,159025.55,1259,2124,1944,35772.86,6.87,51024.11,-0.553111517,1255,1255,2159,2029,7378,1144,1007,7865.37,9,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000179,0.013984,0.014782,-155.91,6.33,2,1,113,32,1500,-1.46,-0.5,-0.78,0.7,-0.45,0
1128,2,0,0,1.747562,0.725814,1.874989,150.25,21141477.97,-2339.19,13426512.28,214,116,210,1209591.44,239.95,424007.855,0.225855763,212,212,245,693,7378,50,71,16131.27,16,0,0,2,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000111,0.635079,35.090814,-13163.25,5.83,1,1,107,68,300,-0.37,0.62,3.57,2.3,1.61,0
1145,3,0,0,0.110144,0.021862,1.945627,90.5,50125341.17,3268.98,1036267.83,1047,980,1149,812870.41,49.56,642565.76,0.451660871,1043,1043,974,1140,11152,600,720,29913.54,34,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000065,0.020674,0.022258,1036267.83,5.75,1,1,100,57,1000,0.22,1.25,0.34,-8,2.96,0
1147,3,0,0,-0.336196,-0.003166,2,33.76,6619004.6,-250.33,-20953.77,1733,1381,1672,164383.35,21.83,140193.18,0.417061075,1729,1729,1292,1535,9032,17919,20875,3879.6,4,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000038,-0.003166,-0.003501,14.39,6.58,1,1,63,74,500,-0.07,0.9,-0.77,5.67,2.45,0
1151,2,0,0,-0.416045,-0.11019,2,6.04,3346264.17,1675.58,-368724.73,7001,6330,7214,33472.71,2.44,24441.475,1.172108286,6988,6988,6179,7007,11152,16895,18602,5258.1,6,0,0,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000501,-0.11019,-0.128056,-368724.73,6.67,1,1,63,74,1000,11.56,11.5,-1.31,-16.6,6.09,0
1154,2,0,0,0.439337,-0.008729,2,9.48,1858517.41,1018.78,-16222.34,5781,14402,14259,89.78,0.01,631.445,-0.923468387,5775,5775,13293,13647,9032,17919,20875,3890.5,4,0,0,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000548,-0.008729,-0.009786,11.14,4.5,1,1,18,17,500,1.91,2.5,1,8.89,-2.17,0
1159,2,1,0,6.710198,0.160296,1.993448,13.92,3410266.06,-691.61,543070.55,5785,7554,8184,91930.43,15.33,73282.535,0.579114594,5778,5778,7386,7756,35784,8346,15645,871.16,1,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000203,0.159246,0.232971,-864.89,3.83,1,1,107,68,500,-1.24,-0.25,18.1,-27.56,2.87,0
1161,0,0,0,-16.344353,0.001751,1.95,823.13,115820704.1,67919.41,192620.95,518,1010,1564,193546.89,42.18,96773.445,112.6612306,515,515,959,1463,7378,15599,4042,16873.78,19,0,0,3,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000586,0.001663,0.001757,-188.84,1.92,1,0,113,32,1100,109.77,33.19,-31.8,1492.3,297.47,0
1167,3,0,0,-0.520488,-0.046425,2,15.55,3808381.13,169399.87,-176804.96,34829,15790,23076,37872.29,8.93,19187.875,74.22402971,34828,34828,15167,22095,35784,70038,82175,15036.84,17,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044481,-0.046425,-0.050991,281.58,15.92,1,1,35,16,100,92.76,39,-1.3,1104.44,240.42,0
1201,1,0,0,-2.146305,0.134413,2,9.03,1269985.67,283.85,170702.02,1943,6283,2864,10206.37,1.95,21227.165,-0.683503391,1939,1939,6089,2698,7378,15599,18537,871.16,1,0,0,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000224,0.134413,0.240032,-167.35,7.25,1,1,60,62,1000,13.69,9.25,-4.39,-15.5,-0.79,0
1282,2,0,0,-0.175252,0.001109,2,7.69,4261521.25,-13367.6,4724.25,2378,3951,2695,86081.46,6.21,165539.24,-0.648642828,2372,2372,3846,2598,11152,16895,18602,4383.5,5,0,0,1,1,17,0,2,2,2,2,2,2,2,2,0,0,0,1,0,-0.003137,0.001109,0.001318,4724.25,27.75,1,1,61,52,2000,0.44,1.5,-0.56,-38,-1.83,0
1313,2,0,0,-0.036752,-0.045972,2,5.15,1009150.42,1160.86,-46392.45,8914,7627,8567,11438.15,5.28,8525.625,1.037759883,8914,8914,7371,8254,9032,17919,20875,867.71,1,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115,-0.045972,-0.04824,31.86,6.58,1,1,61,69,560,2.81,3.15,-0.09,1.89,4.59,0
1317,2,0,0,-0.917009,0.00249,1.601155,61.86,8704068.59,740.13,13030.97,2727,3523,2095,24452.6,4.71,39103.525,-0.64215737,2723,2723,3887,2391,7378,1048,748,1735.42,2,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000085,0.001497,0.001561,-12.78,5.75,1,1,61,52,500,-2.17,-1.44,-1.94,81.4,-0.68,0
1332,3,2,1,-4.917062,-0.053183,2.002844,37.22,9115015.2,1897.19,-486139.16,7675,6849,5698,79422.4,13.22,97488.01,-0.357196627,7670,7670,6692,5500,35784,7846,8427,4996.64,5,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000208,-0.053334,-0.060754,774.22,7.58,2,0,95,37,300,-1.76,-0.88,-13.12,3.56,-0.16,0
1365,2,0,0,-0.902675,-0.007895,2,11.57,2834915.47,1406.14,-22381.35,19758,41396,38786,1278.55,0.21,2595.075,-0.786170264,19748,19748,40301,43545,35784,70038,14058,3484.64,4,0,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000496,-0.007895,-0.009187,35.64,5.67,1,1,56,7,2000,-3.18,-2.5,-2.25,33.67,-1.55,0
1372,2,0,0,-0.402985,0.003688,1.95,19.11,4680955.15,805,16401.69,13450,27506,14112,9224.19,1.53,8052.09,0.024149853,13442,13442,27439,15141,35784,17034,6280,1742.32,2,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000172,0.003504,0.003659,-26.12,3.67,1,0,80,60,1000,2.88,3.62,-1,-6.67,1.06,0
1397,2,1,0,-0.538752,0.025217,2,82.45,16162612.33,130995.38,407578.82,1975,1395,1429,109033.98,55.15,146313.26,-0.521858278,1970,1970,1385,1458,9032,885,841,3484.64,4,0,0,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008105,0.025217,0.027504,-279.94,3.33,1,0,73,21,1000,-2,-1.25,-1.18,-5.33,-0.79,0
1411,2,0,0,-1.099288,-0.040393,2,1.54,216797.08,-0.19,-8756.98,2342,6382,8453,5752.43,1.02,4875.495,0.425541353,2338,2338,6183,8163,7378,5660,7819,876.35,1,0,0,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000001,-0.040393,-0.056101,8.59,6.25,1,1,113,40,500,-2.71,-2.31,-2.24,-9.6,2.13,0
1424,2,3,1,-1.682077,-0.000824,2,22.59,12510296.1,509.99,-10314.53,4091,5382,5287,40226.96,2.3,44986.4,-0.276389278,4083,4083,5260,5390,11152,16895,2734,4403.55,5,0,0,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000041,-0.000824,-0.000842,-10314.53,5.25,0,1,57,50,500,-0.56,0.5,-6.19,-88.8,-0.22,0
1425,2,0,0,-1.360383,-0.002567,2,7.57,4193633.9,3164.61,-10764.01,6075,3219,4115,134490.01,8.7,80662.28,4.011822818,6065,6065,3132,3964,11152,16895,18602,9643.7,11,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000755,-0.002567,-0.00323,-10764.01,7.5,1,1,68,78,1000,1.33,2.5,-4.25,0.2,18.43,0
1431,2,0,0,2.481877,0.048393,1.99501,51.33,12571258.83,-3187.55,605321.62,34829,3783,4929,143028.45,26.95,137588.345,0.08233337,34828,34828,3579,4633,35784,70038,18465,5287.62,6,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000254,0.048151,0.055939,-964.03,8.17,2,1,98,54,5100,6.76,6.5,6.15,-4.11,1.26,0
1432,2,0,0,-0.131073,0.00414,1.927654,41.72,10218977.86,1730.64,39241.44,9409,10418,10127,51018.47,8.97,55871.825,-0.217892105,9403,9403,10146,9898,35784,11799,11257,6098.12,7,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000169,0.00384,0.004058,-62.5,18.42,2,1,116,49,500,-1.76,-0.88,-0.3,-0.33,0.29,0
1433,2,0,0,-0.360302,-0.04215,2,32.76,6423236.73,-108.67,-270738.18,9002,17824,20801,-225225.99,-21.15,-241397.95,0.125573364,9002,9002,17819,20797,9032,17919,20875,2560.32,2,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000017,-0.04215,-0.044443,185.95,11,2,1,21,63,505,1,1.8,-0.82,-12.22,0.55,0
1435,2,0,0,1.339864,-0.013469,2,1.91,468340.91,92.21,-6308.18,11364,14269,16709,42298.64,6.71,34221.515,0.617885902,11355,11355,13690,15915,35784,70038,82175,823.79,1,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197,-0.013469,-0.020808,10.05,6.25,1,1,111,76,318,1.18,2.12,3.35,-5.67,3,0
1443,4,0,0,-2.598782,0.21329,2,18.36,3599916.25,723.74,767826.54,899,1374,1596,182190.94,24.17,148735.615,0.580417086,897,897,1288,1466,9032,17919,20875,17917.2,11,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201,0.21329,0.377336,-527.37,6.08,1,1,41,36,1000,0.02,1,-5.91,-9.56,3,0
1444,3,0,0,0.110277,0.002333,1.75,2424.37,593793045.8,-26301.72,1039030.51,346,394,419,2382318.99,398.13,2115356.085,0.028084327,340,340,354,365,35784,488,484,106670.36,122,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000044,0.00175,0.001829,-1654.76,15.92,2,1,37,13,500,2.53,3.25,0.02,-5.22,1.1,0
1496,2,1,0,-4.356049,0.06398,1.976307,5.51,1079622.13,-168.69,67437.39,8914,6104,6756,19342.7,2.43,14017.11,0.777983475,8914,8914,6082,6862,9032,3290,3695,1767.04,2,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000156,0.062464,0.075265,-46.32,3.58,1,0,61,69,500,3.98,3.85,-8.98,141.33,3.69,0
1527,2,0,0,-0.877746,-0.000152,-1949.064131,254.61,35825649.51,11197728.5,10603649.22,147,117,165,1754829.59,364.05,1208862.385,1.647220319,144,144,97,129,7378,15599,18537,105401.66,93,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312562,0.295979,0.743174,-10395.73,14.25,1,0,107,68,1600,3.69,3.88,-4.22,-21.2,5.34,0
1601,2,0,0,9.958617,-0.095843,2.004837,5.09,2029634.05,-23.98,-195466.54,3733,16778,16792,3250.84,0.34,3555.435,-0.445441255,3729,3729,16451,17351,8705,25715,6977,5299.56,6,0,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000012,-0.096306,-0.100797,325.78,3,1,0,61,52,3000,-1.71,-0.82,17.12,-17.6,-0.22,0
